time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
39,risk_neutral,0.9462052481576546,0.42674887073112683,4105.683786401921,0.8999999999999998
39,risk_averse,0.9499999999999998,0.42528319108227414,5893.8638390564,0.8999999999999998
39,risk_loving,0.2541499258890031,0.8080488708706006,3144.730420969152,0.9
40,risk_neutral,0.940023600925854,0.42914900310579807,4228.391924131407,0.8999999999999998
40,risk_averse,0.9499999999999998,0.42528319108227414,5921.471253383039,0.8999999999999998
40,risk_loving,0.2069706368012435,0.8390203222523176,3089.0043481607545,0.8999448170016822
41,risk_neutral,0.9435372230528041,0.42778534450348527,4130.278963738592,0.8999999999999998
41,risk_averse,0.9499999999999998,0.42528319108227414,5889.684296043268,0.8999999999999998
41,risk_loving,0.18277714514659177,0.8538994583918531,3087.410968204354,0.8991380989892293
42,risk_neutral,0.9389991631292934,0.4295547008315956,4144.7085184045745,0.8999999999999998
42,risk_averse,0.9499999999999998,0.42528319108227414,5866.672286128111,0.8999999999999998
42,risk_loving,0.1824171715986291,0.8553656219098452,3097.5251566035245,0.9
43,risk_neutral,0.9385115620480287,0.4297596242812306,4116.716215741967,0.8999999999999998
43,risk_averse,0.9499999999999998,0.42528319108227414,5880.753712259325,0.8999999999999998
43,risk_loving,0.18516470722848383,0.8538970464373813,3069.3556977050516,0.9
44,risk_neutral,0.942301990662832,0.4282663625136192,4107.594307212986,0.8999999999999998
44,risk_averse,0.9499999999999998,0.42528319108227414,5882.228617098579,0.8999999999999998
44,risk_loving,0.188555094907774,0.8534264353260671,3092.4777487956067,0.9
45,risk_neutral,0.9343235570717667,0.4313710476642759,4121.316226810433,0.8999999999999998
45,risk_averse,0.9499999999999998,0.42528319108227414,5882.2301197247925,0.8999999999999998
45,risk_loving,0.24897500737666706,0.8127549791727353,3121.7753541487255,0.9
46,risk_neutral,0.9343571412991631,0.4313791122630719,4168.79357080889,0.8999999999999998
46,risk_averse,0.9499999999999998,0.42528319108227414,5840.6993840788855,0.8999999999999998
46,risk_loving,0.2319672781683248,0.8236301142798264,3127.6067011083646,0.9
47,risk_neutral,0.939299764522645,0.42947168686705695,4065.5379363336324,0.8999999999999998
47,risk_averse,0.9499999999999998,0.42528319108227414,5887.2191460320055,0.8999999999999998
47,risk_loving,0.22417242779566393,0.8284139218070529,3096.720256921183,0.8996185028093692
48,risk_neutral,0.9346356304207031,0.4312393892617702,4102.249017729577,0.8999999999999998
48,risk_averse,0.9499999999999998,0.42528319108227414,5907.440644831431,0.8999999999999998
48,risk_loving,0.19676757751732646,0.8467548192096227,3084.727064597444,0.9
49,risk_neutral,0.9423962673355856,0.42822894321533533,4127.273922030443,0.8999999999999998
49,risk_averse,0.9499999999999998,0.42528319108227414,5893.377780508994,0.8999999999999998
49,risk_loving,0.22853466254059146,0.8244286414602844,3116.774629466286,0.9
